,Stn_code,Date,State,City,Location,Agency,Area,SO2,NO2,PM10
95,95,12/6/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,35,111
96,95,12/9/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,6,27,174
97,95,12/11/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,189
98,95,12/19/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,52,149
99,95,12/22/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,49,162
100,95,12/25/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,38,168
101,95,12/28/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,33,168
102,203,1/3/2014,Telangana,Hyderabad,"Uppal, Modern Foods & Industries IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,22,160
103,203,1/6/2014,Telangana,Hyderabad,"Uppal, Modern Foods & Industries IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,23,158
104,203,1/9/2014,Telangana,Hyderabad,"Uppal, Modern Foods & Industries IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,24,129
105,203,1/12/2014,Telangana,Hyderabad,"Uppal, Modern Foods & Industries IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,21,99
106,203,1/6/2014,Telangana,Hyderabad,"Uppal, Modern Foods & Industries IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,25,158
107,203,1/19/2014,Telangana,Hyderabad,"Uppal, Modern Foods & Industries IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,22,138
